node_id,feature
10,"0.23136865766717296,0.9800052179687463,0.5026636308216244,0.2241189177232421,0.12985246751955493,0.673006861735645,0.12553430795534182,0.47859496641542665,0.4071304407769424,0.5135226426280749,0.8242700566241349,0.7855629991772014,0.2383846182629139,0.496975693914424,0.342335531951252,0.36771240065536714,0.5060877018581221,0.6461025716371459,0.3613051527040215,0.9659965658246168,0.102984645113946,0.32239388625252474,0.0950063040707897,0.37796701406259625,0.42399387227910945,0.917618270516021,0.1977273262965068,0.21592955549343706,0.03301183998530688,0.6586525357025803,0.38842623905756823,0.34695460412366685,0.10027311332635047,0.2598086643025779,0.06605352453367819,0.5354400371411221,0.7158658577494583,0.5965690516380902,0.30584819745934055,0.6113607579538625,0.5843768715822105,0.9185844542258138,0.4959795083808076,0.33916532678558775,0.036867859387002655,0.6100443093905485,0.048352232792725935,0.20929441566169182,0.8045121749921503,0.5369623228394738,0.34223963382404954,0.7611636008080555,0.5158846367497502,0.07180371884651049,0.6207014948092021,0.6558979020741661,0.9085687857223866,0.6055382191658927,0.2952279396271257,0.9866843523297983,0.7399109076309487,0.7317448447905971,0.5522621842817993,0.6345436404642073,0.9457243479878896,0.7492273733472545,0.1705974503766975,0.8698849990089325,0.8805329470756592,0.23019088664249276,0.16784630873034212,0.9011734456319159,0.29739749989166264,0.39442558176147224,0.11717706093357727,0.0930924717265329,0.016385943652615698,0.7419510727897005,0.9233431859916804,0.050557144085147665,0.7289073278617592,0.3575585956161176,0.9098033344727603,0.6293334241527663,0.922899792571716,0.9710939775728357,0.458509775868414,0.6253768919371147,0.2500180546112881,0.377086387756422,0.4471926893437813,0.62844127942522,0.3591668854469744,0.8999312018956074,0.5866729329127913,0.3224654441412177,0.3225308131381228,0.5025853227422151,0.9946914174808974,0.7481247573034756,0.5357186505057199,0.3027898086240236,0.8338153422312723,0.5460382959840092,0.11580448962372791,0.8101170337866062,0.9237657866746156,0.4539069279103407,0.5697365617924327,0.09702844844522673,0.2027871854080937,0.025043750455165048,0.45011956159202104,0.9982911793066094,0.7914370515502125,0.08854478424771617,0.4897751146597147,0.7631011481199788,0.5618360451829307,0.6365356667171168,0.3918343822132019,0.07925155727599709,0.3830751536274899,0.48519045877743106,0.41887034283310043,0.021927776516441844,0.7959153502434027,0.6560248438347311"
11,"0.4268607852305589,0.46025256848145024,0.01361409556979376,0.37120527934138536,0.20504498896356893,0.5917554641911331,0.6665102226538451,0.7402482699949285,0.8783058384118545,0.9328850985716388,0.3899659260305046,0.7664869929324921,0.2525901909903251,0.5827288745494142,0.36488801525179315,0.769860017503181,0.43193449261708816,0.6281836739717525,0.19996008141703236,0.9119565306079217,0.7313948690632739,0.4931533956126788,0.3933906540828319,0.9515334245004033,0.8640674059721931,0.5911787227001207,0.49195982863663257,0.7088922562424431,0.18640519371410424,0.8105812827817429,0.5076296481092268,0.9354699464939722,0.8953989194915839,0.8008494178856658,0.20980269252413797,0.5882235310798377,0.5144692624442039,0.5351206049899088,0.8600100816007016,0.6360763854828593,0.24705184566087035,0.3987435489882597,0.8630844244317277,0.2923066142198797,0.7926375241208476,0.13732445572664997,0.2964634018416922,0.24360968890818957,0.5505651447692675,0.09914207335542746,0.10144337012408866,0.20782506999527517,0.6274827949601932,0.8454831999591119,0.9652516210275738,0.2138369807760343,0.09798656041643139,0.5623754701042516,0.5233920183724352,0.3444155282155599,0.17719309804987482,0.6731219332394618,0.05233188467034189,0.11462208567407395,0.9274650217590922,0.6668639870605386,0.4231637082214329,0.1503217076180572,0.09932703785809283,0.9963872636985577,0.41875724188504115,0.2749101891102489,0.10213608649246098,0.5886829501269276,0.6873321521809052,0.10292322416333666,0.438020063837414,0.009790138109198598,0.04962038613101094,0.7425888846076962,0.7852085881793867,0.9377101108934163,0.9629769886534999,0.35416550079540243,0.5535506944901627,0.5466423291247691,0.37858245509110533,0.44759132356030507,0.7795524157393391,0.13065548201434374,0.2851264054660594,0.7666381179485614,0.040087662115922296,0.012558639742861533,0.17233780560732093,0.2655748058164825,0.8194520322338328,0.7888294381470721,0.7007809897393904,0.018882178907675407,0.9997473020734929,0.9228754828647696,0.09647180335743977,0.8207141877571407,0.5161796672801794,0.793811716405152,0.018381628583879372,0.17136079952097139,0.05780080173184232,0.7324977845539972,0.5120020375396214,0.5863954552592465,0.7837213590090123,0.11111046259190693,0.8444609548135104,0.24437225209716684,0.974129185173758,0.15808665552402879,0.8358430757296837,0.7059633362637889,0.9061819045616827,0.9186082687081564,0.8076778217859082,0.397599396889488,0.5744348444921911,0.9386849100023689,0.3927342798697121,0.7179716871525319"
12,"0.3835056793670505,0.2567834473319506,0.5841894070524649,0.5305367122073313,0.09652727630771041,0.5624483554616325,0.30973430615496955,0.6247680990961451,0.4098169460301283,0.7510762816371306,0.6826778039180619,0.7004905154732258,0.33819830105807724,0.6022937698964547,0.22720069791062347,0.43500893055487777,0.5159768549055183,0.145273753820646,0.4494789872435849,0.6625417675012877,0.6373881392331691,0.18782416576487748,0.7456243197367411,0.7700205764768513,0.26886757374152737,0.9992905539487653,0.6839592688640708,0.4938647505667223,0.8909587621040538,0.5613841933665467,0.16012065053024394,0.4123748213995847,0.852541558578746,0.0027143937733549173,0.09812502559635294,0.8697701430718294,0.16609087359058272,0.8075207626626572,0.6334051759344906,0.3812616017613032,0.6899974897107833,0.5882776481101473,0.9668764071019856,0.4069054659887602,0.04335618569908628,0.3505387744151044,0.05153007123565245,0.2239071420054013,0.10500942325392382,0.7826685299259628,0.8454194749630288,0.3753065574577955,0.25416647306568363,0.25770130667431845,0.31209003760756493,0.18316635888443833,0.1357507792063034,0.989881648866243,0.24540476081816998,0.7418866425025699,0.9568688398698902,0.8829020234889591,0.11729663630028675,0.1734527899347572,0.4750408920815974,0.8705980146053319,0.01972362512566106,0.6815936670212073,0.5553467020015568,0.3281067399015921,0.35413374736109127,0.5804484902617376,0.2853271030628981,0.11844696988089332,0.23936546498662892,0.6678245848030363,0.6542672149692199,0.7191813936417899,0.42990629765142063,0.7423441666982706,0.8454418220152667,0.7691749555203169,0.6235031584817075,0.19211570641345155,0.33994310905024494,0.8899173661890752,0.2644448123818781,0.44328695937423235,0.26419101985835314,0.1116368642024359,0.40931449526487873,0.3324558243568472,0.5868702873578205,0.21551906977697521,0.056357016948711314,0.025260051668875128,0.9161124667181886,0.890062350767327,0.029147452281522934,0.3090368810104158,0.24922247924232688,0.6424380923357123,0.9828121679844677,0.8509957310843651,0.5907698174627549,0.20504519357422402,0.9297472834379966,0.07599050266246388,0.5665102510561241,0.26791983637041417,0.9940205888302198,0.7008030723892511,0.9659417474421379,0.6072785072315671,0.11413606385913466,0.5454742875478106,0.32665504884641583,0.9372740914165684,0.7001856901144443,0.10217960562188699,0.10150682443718095,0.2916207073606162,0.9150841931766226,0.38890655600744695,0.4232658074668363,0.3471683719705301,0.5554284809965945,0.2737912744757326"
13,"0.28699820524777286,0.4215069431245303,0.8962904367627463,0.3785679794094222,0.816368328983664,0.7579486939370944,0.9480511130144672,0.7069254535106707,0.15494826490067892,0.9495486496393127,0.6090679739941716,0.26501085643877453,0.7397408250693273,0.38462328392035905,0.20527861654523272,0.5386217507782326,0.011782058939556306,0.9476652304731138,0.23485683777499466,0.5832477483873749,0.13758761351404136,0.5415617377617179,0.08973212357704152,0.7632092246383287,0.7990673791693754,0.35028460316960963,0.3542108194108846,0.7200223361824128,0.5468261423241589,0.6758590382187856,0.39402838497953163,0.4465174701562372,0.8969294961172412,0.37013721613671113,0.5875887017369008,0.5741284284899727,0.8065495271522595,0.8269583560876338,0.5332740096093037,0.19958946817065926,0.6058071588406073,0.03058684381058796,0.14237636477221727,0.3659363129117663,0.9574637638554806,0.5393430973275477,0.8893583077908649,0.17668378689144693,0.8491830437309099,0.41829939578062625,0.36537671824886075,0.8686865246094225,0.506538805694767,0.8755688919422067,0.24960357495308527,0.6253520387504311,0.3198714986143327,0.2310832451080349,0.7523354608409899,0.43535251334985114,0.7161215827505664,0.4592362321770389,0.9354540130055919,0.8484284053528011,0.39927186424982175,0.7503312013986314,0.2415378601964735,0.04530873208464581,0.5328940073159244,0.545967398536951,0.7741684998557774,0.09784767322248167,0.2928729312537476,0.9308807340604776,0.709969785621923,0.6797761293395462,0.2068349520107583,0.07759549609267458,0.7186744486714117,0.8840496332402025,0.8977405738810654,0.45301918986543976,0.5373694654539912,0.7041423135977657,0.9879324072656867,0.7694073531863488,0.7237376102951047,0.9436996310536353,0.24404238583326854,0.6214557900701184,0.8355911593068996,0.7962426735544462,0.4140341391321921,0.21101147909226825,0.7712210166002219,0.00678224828845031,0.19315515178861986,0.6006357175594227,0.31993609926788213,0.5084086973545036,0.7182386216712994,0.3197661140570658,0.6399159809213603,0.6851473761090638,0.15073336590690678,0.8681879943346587,0.4831277000603006,0.6379089239308856,0.10567358778765412,0.8276778344656097,0.7456353337265531,0.607290068284689,0.5773631118808297,0.24656015937072073,0.24406827639705853,0.9302557756910388,0.3946784082067555,0.9871861097977086,0.5794026370590613,0.4052150920179274,0.4714085114073572,0.2077774487689944,0.44821271205443125,0.03991469207684939,0.862487122756885,0.255798781681545,0.9904755714377342,0.9803816468720853"
14,"0.7345238384574234,0.623721598912384,0.6932594950140756,0.7080527999527259,0.8402932738490407,0.5542636897496542,0.21669763899539773,0.7223258247310888,0.449449049309816,0.5537479009188927,0.9913200511649125,0.49440085196147887,0.9230576574374014,0.11202468563942414,0.911532253978346,0.629543354139359,0.3426247457345123,0.8762126713738178,0.18347381846009303,0.3777908853991443,0.4769771329102005,0.8732381220574227,0.33345902749676437,0.3162930215530504,0.659510271983966,0.9470401398594888,0.6448703025076298,0.22786364448882224,0.21662337156693368,0.17331125891545507,0.011199884405327265,0.23675779142991538,0.5644597413324363,0.13856675196198442,0.5471915209959911,0.8342202404218052,0.7490434275927994,0.9761879261570638,0.28905351045414696,0.8033122336533051,0.8499776558971471,0.8343983630602645,0.24661757148867536,0.6653305286201782,0.48717006500125093,0.9007535332779907,0.784045842209755,0.48061972156451727,0.844957358675604,0.823406060103983,0.3658143530149496,0.562042877132745,0.9004571925198566,0.6752574308123482,0.22518276306544194,0.4784564286643537,0.33018347894241284,0.25255095590046317,0.1713685317813235,0.715670007461849,0.16182965775324198,0.3603542122903767,0.643730504452265,0.9852092875135638,0.6823811213213401,0.6829537421094567,0.9312975215318123,0.23894692667133932,0.7883807928362284,0.2606432365131036,0.7761100210958883,0.7516147918249076,0.9379871496327956,0.5090522663032564,0.10334701905498378,0.26636358139232275,0.7157347106680151,0.08426551065226151,0.027596646780941758,0.4702836049310435,0.3157753129071722,0.33981773452910924,0.8461535417247323,0.8734999236677072,0.6684929982239438,0.4797178630533999,0.9582821160312379,0.11561298784194418,0.8117601836904089,0.9784084130740197,0.1926466499354812,0.9509524765157936,0.26527908421205193,0.6644317855198395,0.7672944145010979,0.22582960876650215,0.9282797137524448,0.3528204662578459,0.6626928433766923,0.6939156370585682,0.012422623220271989,0.24041380427968007,0.05147756197957287,0.24926433328972142,0.7733595790942571,0.2879786562056096,0.34489589478898786,0.18132367447130804,0.0744751658477848,0.19512404039794362,0.16763223242493963,0.3122512506644892,0.163029353402676,0.31934816740363725,0.7840916072196592,0.9977201296874233,0.9381930544688508,0.29155493724690273,0.24177625522564417,0.6407960159149055,0.8416946800554048,0.09539766175651121,0.22213702521395584,0.4867820702233485,0.9940572439036179,0.462655096259581,0.08991319403465947,0.9029041622802203"
15,"0.8403342457322688,0.01984892640796121,0.7565944505962061,0.48646949911080817,0.5440861985939894,0.5802797988243823,0.5340770026574765,0.7176092453666018,0.5167247220378278,0.6233507158336458,0.3503584773459213,0.6091605176098075,0.8641662359093739,0.6062790065702051,0.8133772387283122,0.25226056183002377,0.9227237671560518,0.42020653876461833,0.03708411499328634,0.29423957699398584,0.09300727134150011,0.5390950015042953,0.075073400002315,0.2327736083433991,0.2916204798283829,0.7638376980714657,0.10320290810373745,0.3661852917786972,0.6749706139583043,0.4514780814975904,0.3644043510520474,0.16222208093041057,0.16999227898225566,0.318982730887147,0.5394706151446618,0.08618811226054779,0.13999821387809863,0.21006365675862637,0.6447958316524288,0.7578707927131856,0.747080727666514,0.023622398209666162,0.7121231584306322,0.6099962264642121,0.5969443967928003,0.784997277890964,0.22441715786938365,0.06368348631155563,0.5375283542890763,0.4940702164111297,0.40454942954875994,0.458126517729758,0.3481284722846265,0.8663632106250968,0.27331586396119933,0.7519212762856049,0.7770214827407104,0.2625944067675774,0.5813557977959382,0.5690204420998968,0.118387704884514,0.034300725799892184,0.741638763454922,0.5828993082096127,0.44449913721511514,0.09976192469949585,0.41238408837143026,0.4750955362536097,0.9183690426093225,0.5096327443771101,0.42254770750026893,0.546068496121727,0.829337805536408,0.8853534817274584,0.7559502523725884,0.36498523147922923,0.011269225256530624,0.031373558547535096,0.18552823005699137,0.3822893313507715,0.06302677488724484,0.9799673184727453,0.31568736353597526,0.9020407707362984,0.6343430477176057,0.9819231914988585,0.6385455176401508,0.4212176477747136,0.5835045173968016,0.8573465959799151,0.2661960150978492,0.5872040084771016,0.447183127029103,0.39173778289839023,0.01725177964226632,0.12854779104945846,0.2603433552516853,0.13274064640269345,0.45821870514131224,0.27395785085313706,0.9607891128389341,0.8880382498507663,0.3300337715460927,0.6998196715016715,0.25078962303241514,0.7817311547517442,0.6174524521409261,0.13950734098901585,0.39198689050934,0.7382956421114976,0.11204264064520797,0.2604919635116951,0.4877228977416248,0.8989902262714546,0.7327739180208815,0.08399178480651981,0.7598486727202801,0.36734214622192496,0.9314565459209896,0.25627325697524794,0.3689578492776252,0.3490548199778045,0.5629116192422293,0.850514995306695,0.16036825254199016,0.24611780326465216,0.06950337013780339,0.8661767396785641"
16,"0.6040452919642213,0.4941227375600502,0.0023741699519395087,0.9884724802947827,0.9266542059272095,0.5667632138801771,0.8716061694251416,0.04737629397800314,0.019471549804558008,0.88414503642294,0.739707629123426,0.7636104484868185,0.6076157302494875,0.005753231926588609,0.6001994036089662,0.21422369487269766,0.4713500653991668,0.030597408997209197,0.30580913923835384,0.35859458090768337,0.25930373039036314,0.47040487421751964,0.15668555717594057,0.26502013640690825,0.26104064904630864,0.28024397026301806,0.6480844733253693,0.7299515464774032,0.4186557641401254,0.39326113383166816,0.41502564098350636,0.9433553011724354,0.04018686252281645,0.07384731259107769,0.6536708583361255,0.34590584205911,0.9910033209907828,0.7893140459703778,0.07969121704597981,0.5029703545017656,0.13258617197852496,0.10394747807502791,0.6447281577355374,0.9846395560386081,0.22651251302455155,0.1475731526372197,0.6124785174832923,0.6471364963436889,0.3912218838901713,0.79038069629726,0.3756345326723646,0.04260967462910947,0.3394436999061179,0.315308224120342,0.531571738742117,0.9932616302041025,0.4141527654610335,0.9424641675628844,0.08601465305724942,0.11261718366912288,0.024913340325884548,0.8486676369278737,0.4890543420468465,0.16581867033200381,0.41113921774160833,0.037760244621118044,0.5935503967439627,0.05918535838268102,0.35477545814687206,0.12492674391946967,0.5716814183763634,0.5280178317211055,0.6465837377529869,0.5611582710353474,0.9849682366562915,0.7970525032808422,0.8252681244164086,0.03213269156946652,0.6187006396228824,0.21724270802130097,0.4572990572272454,0.24066799468523636,0.47807590570317116,0.33825348188091753,0.5881547731492706,0.1543702095851064,0.1798046138484517,0.4886331067972757,0.7451233276633579,0.991387934089334,0.6627004442281316,0.6506861643886396,0.1338363075914455,0.934957695135198,0.4076026133717989,0.9955361286848944,0.9977663136900462,0.07195963501406988,0.37683173625078503,0.2010765038374248,0.3632403098222097,0.05198191043084588,0.508013552088201,0.10965271797643106,0.9850361886409387,0.23332371802545127,0.42998939460621743,0.9851883786910234,0.7063877488548425,0.5307196712027067,0.9016572824586291,0.18213322230649698,0.7351945586875716,0.8251874282410552,0.7132188895734985,0.5609598913465296,0.40600254089442,0.8099761284209939,0.20960972336294903,0.8054049304606722,0.09264251385224809,0.01859591401184335,0.9060813438625034,0.7156237402552862,0.6869198769711216,0.9049205323677586,0.3240198799546289,0.5591028644080174"
17,"0.3228834043978026,0.31689884163930826,0.556587421992403,0.3819808159418586,0.08864764833329997,0.007232711477439091,0.4569389009729522,0.5135836039380665,0.051326825726086156,0.016602054685757706,0.6198490693734229,0.8874143651418401,0.6486179758928181,0.9933899772053445,0.020097021569743134,0.05022760412648686,0.9679509386116182,0.8780348419574042,0.3390122461288334,0.9327668764454525,0.5714605959685699,0.011465581129835756,0.5042594720609208,0.15030686836252438,0.27534268184594823,0.3146821213386837,0.6384091828418106,0.9203482032825995,0.5208736297410151,0.17104515517874408,0.7334891077278339,0.2558519950900633,0.1578302059967892,0.5771802607467165,0.9935985004226875,0.6199887645642064,0.6555767485758014,0.9856565825337084,0.23304626741294232,0.1511714873476142,0.5782848875842657,0.4915579801531589,0.6609372204895404,0.21371080013828858,0.8767687769186481,0.9187462391566452,0.4871622600293244,0.9477382658719988,0.12791810588459485,0.5924919088116045,0.17716310442193728,0.19945574443687075,0.8306583342515307,0.6893335864604947,0.14848492989903006,0.046165195370654555,0.7521734985556916,0.8099811626053177,0.21181191324437765,0.20506098474366818,0.316236946139156,0.8105944159778753,0.10379732750205761,0.594966948718204,0.05160588116962961,0.5501607203892037,0.12725491931792687,0.9252475343294189,0.22653442767695509,0.03312195195489109,0.9799952045191626,0.8672870599584365,0.7471958633433549,0.021594934526496745,0.2047028754236856,0.27386451678206003,0.6288124741256549,0.33409384360335825,0.8556702437485354,0.4154817735809595,0.21395633276156278,0.8793323252035826,0.36034860499173604,0.8625348853116144,0.4287397916415273,0.8129608845866979,0.3843167113426549,0.4833897999355058,0.8774600413718671,0.16710503545559052,0.5775216739043056,0.48525454395639467,0.8650567417547678,0.9754927683747135,0.7975459941705633,0.8759877831051913,0.4027125547907908,0.04036964271185761,0.5163387157022866,0.8796694917817247,0.017067043793995484,0.18593373801729274,0.40261339307358945,0.9673224650605549,0.3397327933638621,0.36960322218488995,0.8999854411506794,0.40154404419203404,0.022410067564054503,0.07734182364774267,0.8649737588353256,0.3571465940990123,0.08219371028116751,0.5190756874959918,0.05857050365763483,0.5164639663950905,0.8991804012906925,0.9634659213158406,0.0928850730958416,0.8909828580278154,0.5383524014784546,0.5099802302609284,0.5658664635184429,0.8587810299406826,0.578324053911135,0.6846825328551258,0.9316151974660395,0.277286937671245"
18,"0.9712854806998478,0.7472198410504814,0.5337044021382199,0.04963019050003892,0.3657090351463266,0.6201639369882351,0.027186173488496168,0.13142366115222426,0.07589397792489128,0.5217123349209238,0.2553226921650801,0.11964130512909821,0.5581618870797698,0.1384445100902678,0.43890081062697384,0.2576554776702904,0.28172479173936227,0.7281951546963614,0.23381176415024396,0.2225879468402988,0.26370192438480355,0.8026243079336649,0.33172090343006033,0.2264499623073346,0.7597092541706549,0.728685963696994,0.47658672688532033,0.14613157496469942,0.8913080053933442,0.9032249563089493,0.8948106077553147,0.6786159340625546,0.07038506921334453,0.5671204356650311,0.2753945333698504,0.9797120423768869,0.9600069988562308,0.05209428741131816,0.4838487656191175,0.1005147489162056,0.22915505186147322,0.4884682167168023,0.7266991993184978,0.18033389938504485,0.7917696475259098,0.2303840715068315,0.9977156176531907,0.9772486268467734,0.9004441935552373,0.4065681384671327,0.3048513832520332,0.8279626182954901,0.6761996095861067,0.25967536990037654,0.7596753041904136,0.008699049605378484,0.7363536084377716,0.5064681748344032,0.9647339205162025,0.8093589518761171,0.33591729991627495,0.4053271181483441,0.4779429374317694,0.6985078185438597,0.32118999237829027,0.7696781144558397,0.6517220180233702,0.2194849345094534,0.7168829208955856,0.8248802129497533,0.8282294392581301,0.5930303650557972,0.35652983601053334,0.9187460254532918,0.6156119384055219,0.5138904949639764,0.044447020142059035,0.2917819068698735,0.2473676091649465,0.39133208227753913,0.03232758448136008,0.47725228935499564,0.935611229408399,0.5740189696023699,0.676821984246329,0.057411784336973914,0.7369519530172015,0.8526528690515657,0.4959150536119836,0.9372537108238419,0.43301775512004304,0.6937347275988022,0.9611545910633407,0.45027818401528197,0.8526053910463945,0.8461530675671658,0.552371289442889,0.05707413172148035,0.036987203502034105,0.22622474959467231,0.023431728214278524,0.5801716596712683,0.3634178085395272,0.025884400991171286,0.02296763584947903,0.024657531083764894,0.8097998028595466,0.29596540123689496,0.9335130456913685,0.9024407185041621,0.6012511497312832,0.989386041543375,0.8265579240363905,0.8852496702488699,0.4986920394972716,0.6086676348963975,0.9620245596968885,0.11288908470771697,0.5107920450599533,0.49335510756988477,0.4261355635097832,0.02268314346388689,0.29141275498550623,0.6775907416126129,0.4749897973306585,0.20654294198784584,0.7542083635799013,0.1681192619118237"
19,"0.06743372061118658,0.5830459063739835,0.6799485534808878,0.737266485109078,0.18804998468873035,0.7430691020592902,0.10235744071936792,0.27397359829801193,0.05764539143286174,0.9955031138266323,0.5316405482211622,0.06721858000729841,0.40928507651537505,0.7386565538551594,0.3046647967566226,0.2674036503899824,0.9986721003880445,0.7651815040353847,0.8412610262558762,0.14660884620287162,0.5470329529231196,0.29634882882407587,0.5946212851965973,0.8622222318475798,0.2567409481708026,0.8333345257707023,0.648354562836856,0.7011478965784493,0.9947781885437036,0.4087914806745493,0.1411489467271062,0.9441188563089873,0.33577095375432753,0.3011612619727563,0.08673012878193176,0.19223203507095943,0.878852240139339,0.5336575297980658,0.6149331463553486,0.7671881989290147,0.7061395334076163,0.4768318015665738,0.7885566121636423,0.22143799846623136,0.2072135544620889,0.6550819206231452,0.416802008054054,0.3766876701018823,0.40360254606287915,0.3451520526601407,0.11916559800677529,0.5762007808137474,0.14887449848078405,0.4320416658550035,0.9092886427087274,0.7017287082878513,0.07014921241486427,0.0960638514640344,0.9081549276291192,0.43324348916052724,0.37631121446811966,0.5617270783333964,0.2753804186209723,0.5640246711107793,0.1733066059686993,0.830559432989914,0.14806252095549854,0.8283043956508024,0.16854477354695196,0.1967240309841356,0.8101909785370367,0.7311226309222919,0.5745752745376751,0.019174669072709705,0.44768088158287633,0.9612213773865984,0.9863426313376032,0.18063094816267955,0.3806983057613419,0.37335624003058965,0.5473459888734838,0.06225982074802339,0.808864989127559,0.3229662389037651,0.6258936046051816,0.19799476403013905,0.14862396878844786,0.8939743522718414,0.024927949295949103,0.9769806032066183,0.11801313909732392,0.6678704708280636,0.14539777128942333,0.6058827096294963,0.8345524212732552,0.4839472298377543,0.7208517959472304,0.04239174258407585,0.4029794565801811,0.23821726747596428,0.43383403576502,0.33262068343777484,0.6069487475565063,0.808370629871133,0.9426760641122335,0.8134942536173945,0.328534515458915,0.4972327854858801,0.4947650438580753,0.6371630436287321,0.44494864761568087,0.2828303266375882,0.847195777411789,0.3560296451519557,0.5234877827467351,0.1777007692628495,0.09395771765185701,0.7677230813592444,0.9326389588231323,0.8588109655899029,0.04722322749293495,0.5773591388980907,0.7489475680074685,0.417671953515649,0.8333422892139569,0.9195966616719052,0.8975878425371215,0.2547547498015609"
20,"0.5816711132801653,0.7156067640205497,0.9299405921683132,0.8656265446167095,0.9173594826487559,0.7716047639562517,0.10424908112525633,0.7888480907689885,0.4363705085577626,0.5107428872013922,0.3095263894837864,0.7934028956122923,0.3108910986978354,0.17942685626910626,0.8833676394500175,0.24183949821884498,0.3331306161325045,0.9089264516608898,0.5512795566818899,0.44920419236543674,0.9097723938519975,0.970116489364906,0.9918325645571091,0.19318740380191024,0.7556456609467727,0.8146701961280394,0.8707468652673822,0.9567932107823194,0.4601807932855225,0.8840071507049976,0.31903015495907794,0.06280390657920354,0.13453408482272577,0.9667265945124056,0.5202144789419864,0.017459460774888358,0.6107248949739006,0.5347870134558119,0.8074245965113862,0.1401396826046939,0.2751268903065065,0.2987035655700858,0.789638916853618,0.012674367557850452,0.07428694065481611,0.25322874608365964,0.776039038105323,0.897071714301406,0.7209736632287063,0.2297348248174763,0.9757440083029933,0.5187437828453673,0.2925595949465377,0.6481154147530841,0.5838653968508161,0.13816517595801914,0.9612822758184018,0.6221326257838246,0.10889288736138136,0.6240049589482336,0.9931807342291691,0.8421495102291557,0.8109501224044207,0.5016529338888429,0.06961036993053549,0.06472531613624666,0.29854997891330204,0.24889118768220397,0.3619295814695427,0.32370081969803877,0.437571091920706,0.023822387323088168,0.07971294242266369,0.27669905403015693,0.31662138956918173,0.9087126219881198,0.9874286931662797,0.1657459879398645,0.18733364267826247,0.6049728941919482,0.546625009248374,0.44943425170203954,0.9352525762070826,0.38185862427014117,0.7293383995749396,0.5920661038753933,0.6546741180018314,0.8237888522450063,0.8477144459111355,0.18061375055661189,0.5604836991309633,0.27368765337042467,0.7536852687826113,0.2550188067989094,0.785018378998399,0.2010149032829036,0.894592994191068,0.6880534435311797,0.2055636592024599,0.28736172484675715,0.2888614648239247,0.6893347621981928,0.8514505730153916,0.8046827858994501,0.7977137738380493,0.5845045290663645,0.8936388614720082,0.9705523329847392,0.5052897784278315,0.5806193917295793,0.08037576457375084,0.7644866691274959,0.2596984365362539,0.7155037352528308,0.6314435533257872,0.18903000776652745,0.21798456340401928,0.3526305702734446,0.7352436214692589,0.38907081179859493,0.9311733541378557,0.35319006517723717,0.18579177613221343,0.18029993485843276,0.4318737084545644,0.8240687969655902,0.19798741883718696,0.30348162168374015"
21,"0.7728447733856355,0.31889165016013443,0.9383502608603945,0.9027104175277678,0.10369372025446078,0.24498752519292843,0.8211164037613699,0.15604359062909123,0.2913693116057694,0.09399976580991476,0.17990212358216595,0.24081786624934853,0.37525939964244437,0.5795834762099517,0.7610044252293872,0.6456551878543338,0.7344637238582951,0.059576607743405785,0.5530644448974379,0.9455459504394331,0.855317833693479,0.23346483742165014,0.50023341675289,0.761879215187245,0.4014259359978304,0.10085559601072491,0.9465435000649615,0.49891557219144267,0.5805406476195433,0.6525623961271183,0.3823467092413563,0.16101293577715814,0.7213300761261624,0.32096783796037387,0.12299859804041491,0.4252309172869385,0.4103916477710159,0.3484458338698583,0.5490616976777305,0.925145148189728,0.4193776853191006,0.782304923020228,0.38268881532676235,0.5902886913555819,0.35233549665238884,0.06465223859544245,0.6005102147676414,0.892679487735944,0.9434518870340317,0.11476252642957518,0.15797734032162103,0.5304976186925356,0.4750598540294316,0.9183411320384877,0.6042800198715989,0.17768478720611303,0.5224709937730107,0.19026239040029602,0.5513450134784574,0.38137862410410006,0.9979979340459751,0.593462860395326,0.45339858194669946,0.20325838395489126,0.3561794480759154,0.22483589339633359,0.29989377716659915,0.20502902890816932,0.22873411489292428,0.19852592403780978,0.7266118796898595,0.06140728120918226,0.17159772304943233,0.6881338789548164,0.7146099781442931,0.3283157550537864,0.5886645997710049,0.8936470582003173,0.5598536605470874,0.0370765384099101,0.8235457008999952,0.29698916472091075,0.8123683033293215,0.42005362392110335,0.9083422113185415,0.12192466585528339,0.5933604714929753,0.8681438132256543,0.8142875483721084,0.032984714430246864,0.4657881648294938,0.8856437602961634,0.27412653203424586,0.07262753458575377,0.4484456039240382,0.10816823427088873,0.17929157687937325,0.3483597092566467,0.8478762654327691,0.14935223293719113,0.36287861625049034,0.9384609702192683,0.5737832389944213,0.18191050261496244,0.9794171409940912,0.18030506366029475,0.9932123536007652,0.026189161047153853,0.20245019680774778,0.016673082116032356,0.20030003407313857,0.8161414712393317,0.7656223739828355,0.6973728233455136,0.5418674533588393,0.2210882184182652,0.9947468675216219,0.51319954798935,0.7527233643155641,0.7689930324304499,0.004091752686275707,0.18787435716627154,0.9439235102559631,0.5112322396847617,0.6951032089456102,0.5628602706174912,0.6390392314007248,0.233918345583898"
